.title na2 
#           v(1)       v(2)       v(4)       v(5)       z(5)       iter(0)   
 0.         0.         0.         0.         0.         1.E+12     0.        
-1.         5.         0.         2.6873     0.         265.02G    1.        
-2.         5.         0.         1.1111G    0.         265.02G    2.        
-3.         5.         0.         5.0138     0.         265.02G    3.        
-4.         5.         0.         5.         0.         265.02G    4.        
-5.         5.         0.         5.         0.         265.02G    5.        
-6.         5.         0.         5.         0.         265.02G    6.        
-7.         5.         0.         5.         0.         265.02G    7.        
 27.        5.         0.         5.         0.         265.02G    8.        
#           Cgs(XI10.Mp1) Cgd(XI10.Mp1) Cgb(XI10.Mp1)
 27.        0.         0.         0.        
#           Cgs(XI10.Mp2) Cgd(XI10.Mp2) Cgb(XI10.Mp2)
 27.        0.         0.         0.        
#           Cgs(XI10.Mn1) Cgd(XI10.Mn1) Cgb(XI10.Mn1)
 27.        0.         0.         0.        
#           Cgs(XI10.Mn2) Cgd(XI10.Mn2) Cgb(XI10.Mn2)
 27.        0.         0.         0.        
#Time       v(2)       v(4)       v(5)       iter(0)   
 0.         0.         5.         0.         8.        
 1.p        0.         5.         0.         3.        
 2.p        0.         5.         0.         4.        
 3.p        0.         5.         0.         3.        
 4.p        0.         5.         0.         4.        
 5.p        0.         5.         0.         3.        
 52.5p      0.         5.         0.         4.        
 100.p      0.         5.         0.         4.        
 200.p      0.         5.         0.         4.        
 300.p      0.         5.         0.         4.        
 400.p      0.         5.         0.         4.        
 500.p      0.         5.         0.         4.        
 600.p      0.         5.         0.         4.        
 700.p      0.         5.         0.         4.        
 800.p      0.         5.         0.         4.        
 900.p      0.         5.         0.         4.        
 1.n        1.f        5.         0.         4.        
 1.1n       0.25       5.         0.         4.        
 1.2n       0.5        5.         0.         4.        
 1.3n       0.75       4.9997     0.04121    6.        
 1.4n       1.         4.997      0.20031    6.        
 1.5n       1.25       4.9898     0.33158    5.        
 1.6n       1.5        4.9754     0.44888    5.        
 1.7n       1.75       4.9552     0.55689    5.        
 1.8n       2.         4.9296     0.658      5.        
 1.9n       2.25       4.8986     0.75368    5.        
 2.n        2.5        4.8623     0.84491    5.        
 2.1n       2.75       4.8202     0.93237    5.        
 2.2n       3.         4.7717     1.0166     5.        
 2.3n       3.25       4.716      1.098      5.        
 2.4n       3.5        4.6515     1.1769     5.        
 2.5n       3.75       4.5758     1.2536     5.        
 2.6n       4.         4.4848     1.3282     5.        
 2.7n       4.25       4.3692     1.401      5.        
 2.8n       4.5        4.2237     1.4622     5.        
 2.9n       4.75       4.0647     1.4979     5.        
 3.n        5.         3.8966     1.5105     5.        
 3.1n       5.         3.7264     1.4758     5.        
 3.2n       5.         3.5602     1.4377     5.        
 3.3n       5.         3.3975     1.3966     5.        
 3.4n       5.         3.2388     1.3531     5.        
 3.5n       5.         3.0842     1.3076     5.        
 3.6n       5.         2.934      1.2608     5.        
 3.7n       5.         2.7883     1.213      4.        
 3.8n       5.         2.6474     1.1646     4.        
 3.9n       5.         2.5113     1.1161     4.        
 4.n        5.         2.3801     1.0677     4.        
 4.1n       5.         2.2539     1.0197     4.        
 4.2n       5.         2.1326     0.97237    4.        
 4.3n       5.         2.0164     0.92593    4.        
 4.4n       5.         1.905      0.88052    4.        
 4.5n       5.         1.7985     0.8363     4.        
 4.6n       5.         1.6969     0.79338    4.        
 4.7n       5.         1.6        0.75185    4.        
 4.8n       5.         1.5077     0.71177    4.        
 4.9n       5.         1.4199     0.67319    4.        
 5.n        5.         1.3365     0.63613    4.        
 5.1n       5.         1.2573     0.60062    4.        
 5.2n       5.         1.1823     0.56666    4.        
 5.3n       5.         1.1112     0.53423    4.        
 5.4n       5.         1.044      0.50332    4.        
 5.5n       5.         0.98037    0.4739     4.        
 5.6n       5.         0.9203     0.44594    4.        
 5.7n       5.         0.86358    0.41939    4.        
 5.8n       5.         0.81009    0.39423    4.        
 5.9n       5.         0.75965    0.37039    4.        
 6.n        5.         0.71215    0.34784    4.        
 6.1n       5.         0.66741    0.32653    4.        
 6.2n       5.         0.62532    0.3064     4.        
 6.3n       5.         0.58574    0.28741    4.        
 6.4n       5.         0.54853    0.26951    4.        
 6.5n       5.         0.51356    0.25264    4.        
 6.6n       5.         0.48073    0.23675    4.        
 6.7n       5.         0.4499     0.2218     4.        
 6.8n       5.         0.42098    0.20774    4.        
 6.9n       5.         0.39384    0.19453    4.        
 7.n        5.         0.3684     0.18211    4.        
 7.1n       5.         0.34454    0.17045    4.        
 7.2n       5.         0.32218    0.15951    4.        
 7.3n       5.         0.30124    0.14924    4.        
 7.4n       5.         0.28162    0.13961    4.        
 7.5n       5.         0.26324    0.13057    4.        
 7.6n       5.         0.24604    0.12211    4.        
 7.7n       5.         0.22994    0.11418    4.        
 7.8n       5.         0.21487    0.10674    4.        
 7.9n       5.         0.20077    0.099783   4.        
 8.n        5.         0.18759    0.093266   4.        
 8.1n       5.         0.17525    0.087166   4.        
 8.2n       5.         0.16371    0.081456   4.        
 8.3n       5.         0.15292    0.076113   4.        
 8.4n       5.         0.14283    0.071114   4.        
 8.5n       5.         0.13341    0.066439   4.        
 8.6n       5.         0.12459    0.062066   4.        
 8.7n       5.         0.11635    0.057976   4.        
 8.8n       5.         0.10865    0.054153   4.        
 8.9n       5.         0.10146    0.050579   4.        
 9.n        5.         0.09474    0.047237   4.        
 9.1n       5.         0.08846    0.044115   4.        
 9.2n       5.         0.082593   0.041196   4.        
 9.3n       5.         0.077113   0.038469   4.        
 9.4n       5.         0.071994   0.035921   4.        
 9.5n       5.         0.067212   0.03354    4.        
 9.6n       5.         0.062747   0.031316   4.        
 9.7n       5.         0.058577   0.029238   4.        
 9.8n       5.         0.054682   0.027297   4.        
