nmos n gate, vds = 0 
cmosn: rsh - rs - rd conflict: using rsh
cmosn: is - js conflict
#           v(2)       v(3)       gds(M1)    vdsat(M1)  von(M1)   
 0.         0.         0.         0.         0.         0.        
-1.         0.         0.         0.         0.         0.84435   
-2.         0.         0.         31.254u    1.4142     0.84435   
-3.         0.         0.         68.366u    3.0935     0.84435   
-4.         0.         0.         68.366u    3.0935     0.84435   
 27.        0.         0.         68.366u    3.0935     0.84435   
#           v(1)       v(2)       v(3)       v(4)       v(5)       iter(0)   
 27.        3.2367     0.         0.         0.         3.2367     5.        
#           i(Vgs)     i(Vds)     i(Vbs)     ps(Vgs)    ps(Vds)    ps(Vbs)   
 27.        0.         0.         0.         0.         0.         0.        
#           id(M1)     vgs(M1)    vds(M1)    vbs(M1)    vth(M1)    vdsat(M1) 
 27.        0.         3.2367     0.         0.         0.84435    3.0935    
#           gm(M1)     gds(M1)    gmb(M1)    cbd(M1)    cbs(M1)   
 27.        0.         68.366u    0.         0.         0.        
#           cgsovl(M1) cgdovl(M1) cgbovl(M1) cgate(M1)  region(M1)
 27.        1.9707f    1.9707f    0.         62.973f    3.        
#           cgs(M1)    cgd(M1)    cgb(M1)    vgst(M1)   von(M1)   
 27.        31.487f    31.487f    0.         2.3924     0.84435   
#           cgst(M1)   cgdt(M1)   cgbt(M1)   is(M1)     ig(M1)     ib(M1)    
 27.        33.457f    33.457f    0.         0.         0.         0.        
#           cqgs(M1)   cqgd(M1)   cqgb(M1)   cqbd(M1)   cqbs(M1)  
 27.        ??         ??         0.         ??         ??        
#           p(M1)      pd(M1)     ps(M1)     ids(M1)    idstray(M1) iderror(M1)
 27.        0.         0.         0.         0.         0.         ??        
#           vdm(M1)    vgm(M1)    vbm(M1)    vsm(M1)   
 27.        0.         3.2367     0.         0.        
#           vd(M1)     vg(M1)     vb(M1)     vs(M1)    
 27.        0.         3.2367     0.         0.        
#Freq       v(5)       vr(1)      vi(1)     
 1.K        1.         1.        -420.44u   
 10.K       1.         0.99998   -0.0042043 
 100.K      1.         0.99823   -0.041969  
 1.Meg      1.         0.84945   -0.35694   
 10.Meg     1.         0.056249  -0.2238    
 100.Meg    1.         0.0037041 -0.02404   
 1.G        1.         0.0011537 -0.0038982 
#           gds(M1)    cgs(M1)    iter(0)   
 0.         77.77u     31.487f    5.        
 25.        68.99u     31.487f    3.        
 50.        61.865u    31.487f    3.        
 75.        55.99u     31.487f    3.        
 100.       51.082u    31.487f    3.        
#Freq       v(5)       vr(1)      vi(1)     
 1.K        1.         1.        -420.44u   
 10.K       1.         0.99998   -0.0042043 
 100.K      1.         0.99823   -0.041969  
 1.Meg      1.         0.84936   -0.35684   
 10.Meg     1.         0.057018  -0.22344   
 100.Meg    1.         0.0045507 -0.024261  
 1.G        1.         0.0010494 -0.0041478 
